"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모","관광숙박업상세명"
"3010000","CDFI2260031983000001","19830221","","03","폐업","03","폐업","20110622","","","","2265-6131","","100195","서울특별시 중구 을지로5가 133-1번지 ","서울특별시 중구 을지로38길 20  (을지로5가)","","뉴천지","20110622093822","I","2018-08-31 23:59:59.0","","200225.983119633    ","451511.262755282    ","관광숙박업","관광사업","","","","","","","","","","","","","","","","","","","","4665","","","","","","","","","","","","","4665",""
"3010000","CDFI2260032013000004","20130617","","03","폐업","03","폐업","20140912","","","","2139-1000","","100080","서울특별시 중구 북창동 93-37번지 ","서울특별시 중구 남대문로5길 21 (북창동)","100080","신신호텔1","20140912132558","I","2018-08-31 23:59:59.0","","198067.276635677    ","451115.055200121    ","관광숙박업","","","","","","","","11","2","","","","","","","","","","","","1233.29","","","","","","","","","110000000","","","","1233",""
"3010000","CDFI2260032012000001","20120119","","03","폐업","03","폐업","20160212","","","","2119-8974","","100195","서울특별시 중구 을지로5가 275-3번지 ","서울특별시 중구 동호로 354 (을지로5가)","04561","라마다호텔 동대문","20160212164943","I","2018-08-31 23:59:59.0","","200161.192418006    ","451521.415517111    ","관광숙박업","","","","","","","","12","4","","","","","","","","","","","","11378","","","","","","","","","500000000","","","","11378","관광호텔업"
"3010000","CDFI2260032015000005","20150129","","03","폐업","03","폐업","20190724","","","","772-8700","","100874","서울특별시 중구 회현동1가 194-30번지 ","서울특별시 중구 퇴계로6길 3-6 (회현동1가)","04634","플로라호텔 남산씨티","20190724090944","U","2019-07-26 02:40:00.0","","198043.49823516     ","450616.474794295    ","관광숙박업","","준주거지역","","학교정화(상대)","","","호텔","6","2","60","2575","FLORAL HOTEL Namsan City","Tourist Hotel","","","","","","","","2574.87","","","","","","","","","","","","","2575","관광호텔업"
"3010000","CDFI2260031960000001","19600610","","03","폐업","03","폐업","20150731","","","","2268-7111","","100260","서울특별시 중구 남학동 13-2번지 ","서울특별시 중구 퇴계로 176 (남학동)","","아스토리아호텔","20150826172659","I","2018-08-31 23:59:59.0","","199161.113140526    ","450949.233944936    ","관광숙박업","관광사업","","","","","","","","","","","","","","","","","","","","4170","","","","","","","","","","","","","4170","관광호텔업"
"3020000","CDFI2260032017000001","20170125","","01","영업/정상","13","영업중","","","","","02-703-9200","","","서울특별시 용산구 갈월동 69-27","서울특별시 용산구 한강대로 305 (갈월동)","04320","호텔 더 디자이너스","20210802201408","U","2020-12-08 00:04:00.0","","197419.271266145","449254.786813543","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3010000","CDFI2260032016000015","20161110","","03","폐업","03","폐업","20200520","","","","","","","서울특별시 중구 다동 130","서울특별시 중구 다동길 30 (다동)","04522","에이퍼스트호텔명동","20200713191635","U","2019-12-06 23:05:00.0","","198260.880732247","451708.909162308","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3220000","CDFI2260032020000002","20200812","","01","영업/정상","13","영업중","","","","","02-539-6360","","","서울특별시 강남구 신사동 561-19","서울특별시 강남구 도산대로 153 (신사동)","06037","한석","20201022180736","U","2019-10-30 22:04:00.0","","202159.749483028","446291.277157107","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3020000","CDFI2260032016000001","20161206","","01","영업/정상","13","영업중","","","","","795-5997","","","서울특별시 용산구 이태원동 64-32번지 ","'서울특별시 용산구 이태원로20길 2-8 (이태원동 에이원호텔)'","04391","에이원호텔","20181015101807","U","2018-10-15 23:59:59.0","","199190.671806282    ","447977.234335253    ","관광숙박업","","준주거지역","7","기타","","","숙박시설","6","1","21","739","","","","","","","","","","738.84","","","","","","","","","","","","","739","소형호텔업"
"3020000","CDFI2260032013000001","20131001","","01","영업/정상","13","영업중","","","","","02-796-6100","","140858","서울특별시 용산구 이태원동 126-7번지 ","서울특별시 용산구 우사단로14길 11 (이태원동)","04405","I.T.W호텔","20190710103631","U","2019-07-12 02:40:00.0","","199602.998335774    ","448000.622353627    ","관광숙박업","","일반상업지역","9","기타","","","숙박시설","7","2","71","2730","","","","","","","","","","2796.53","","","","","","","","","","","","","2797","관광호텔업"
