"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모"
"3130000","CDFI2262212017000103","20171218","","03","폐업","03","폐업","20190607","","","","","","","서울특별시 마포구 연남동 566-30번지 ","'서울특별시 마포구 연남로3길 21 101호 (연남동)'","03990","자연","20190607181805","U","2019-06-11 02:40:00.0","","192994.187964894    ","450968.698428189    ","외국인관광 도시민박업","","","","","","1실(3명)","","","","1","","Ja Yeon","URBAN HOMESTAY FOR FOREIGN TOURIST","","","","","","","","33.84","","","","","","","","","","","","","34"
"3130000","CDFI2262212017000102","20171215","","03","폐업","03","폐업","20190814","","","","","","","서울특별시 마포구 서교동 328-10번지 ","'서울특별시 마포구 와우산로29길 14-29 2층 (서교동)'","04052","Aiden House","20190822181352","U","2019-08-24 02:40:00.0","","193650.566547276    ","450346.294535892    ","외국인관광 도시민박업","","","","","","1실(4명)","","","","1","","Aiden House","URBAN HOMESTAY FOR FOREIGN TOURIST","","","","","","","","44.9","","","","","","","","","","","","","45"
"3130000","CDFI2262212014000024","20141015","","03","폐업","03","폐업","20180615","","","","","","121818","서울특별시 마포구 동교동 179-25번지 101호","'서울특별시 마포구 신촌로4길 5-7 101호 (동교동)'","04056","choibnb","20180704164900","I","2018-08-31 23:59:59.0","","193653.613239328    ","450593.581323265    ","외국인관광 도시민박업","","주거지역","3","","","1실(2명)","다가구용 주택(공동주택적용)","3","","","","choibnb","URBAN HOMESTAY FOR FOREIGN TOURIST","","","","","","","","38.49","","","","","","","","","","","","","38"
"3130000","CDFI2262212014000021","20141015","","03","폐업","03","폐업","20191201","","","","","","121840","서울특별시 마포구 서교동 397-6번지 ","'서울특별시 마포구 독막로3길 50 2층 (서교동)'","04047","Gateway Korea Guesthouse","20191203171057","U","2019-12-05 02:40:00.0","","192677.129102798    ","449784.318460705    ","외국인관광 도시민박업","","주거지역","3","","","3실(12명)","단독주택","2","1","","","Gateway Korea Guesthouse","URBAN HOMESTAY FOR FOREIGN TOURIST","","","","","","","","78.51","","","","","","","","","","","","","79"
"3130000","CDFI2262212017000101","20171215","","03","폐업","03","폐업","20180801","","","","","","","서울특별시 마포구 서교동 330-48번지 ","'서울특별시 마포구 와우산로29길 56-7 지층 (서교동)'","04052","버틀러:리","20180801095014","I","2018-08-31 23:59:59.0","","193487.83502301     ","450449.587273047    ","외국인관광 도시민박업","","","","","","2실(5명)","","","","2","","Butler:Lee","URBAN HOMESTAY FOR FOREIGN TOURIST","","","","","","","","44.87","","","","","","","","","","","","","45"
"3130000","CDFI2262212017000099","20171211","","03","폐업","03","폐업","20191127","","","","","","","서울특별시 마포구 상수동 93-39번지 ","서울특별시 마포구 독막로19길 45-6 (상수동)","04068","Together","20200204124820","U","2020-02-06 02:40:00.0","","193160.383405751    ","449619.790732024    ","외국인관광 도시민박업","","","","","","4실(24명)","","","","4","","Together","URBAN HOMESTAY FOR FOREIGN TOURIST","","","","","","","","147.78","","","","","","","","","","","","","148"
"3130000","CDFI2262212016000032","20160531","","03","폐업","03","폐업","20171123","","","","","","","서울특별시 마포구 서교동 330-26번지 ","서울특별시 마포구 와우산로29길 56-11 (서교동)","04052","BOO BOO Guesthouse","20171124132539","I","2018-08-31 23:59:59.0","","193509.886053629    ","450470.513459463    ","외국인관광 도시민박업","","","","","","2실(5명)","","","","","","BOO BOO Guesthouse","URBAN HOMESTAY FOR FOREIGN TOURIST","","","","","","","","33.2","","","","","","","","","","","","","33"
"3130000","CDFI2262212018000039","20180611","","03","폐업","03","폐업","20200229","","","","","","","서울특별시 마포구 연남동 561-36번지 ","서울특별시 마포구 연남로3길 18-8 (연남동)","03988","타쿠스테이 홍대점","20200305180525","U","2020-03-07 02:40:00.0","","192974.8197246      ","451016.556348353    ","외국인관광 도시민박업","","","","","","7실(26명)","","","","7","","TAKU STAY Hongdae","URBAN HOMESTAY FOR FOREIGN TOURISTS","","","","","","","","186.78","","","","","","","","","","","","","187"
"3130000","CDFI2262212016000042","20160628","","03","폐업","03","폐업","20180305","","","","","","","서울특별시 마포구 서교동 377-14번지 202호","'서울특별시 마포구 월드컵로8길 68 202호 (서교동)'","04034","모모하우스","20180305181018","I","2018-08-31 23:59:59.0","","192511.155618787    ","450132.242359151    ","외국인관광 도시민박업","","","","","","2실(4명)","","","","","","Momo House","URBAN HOMESTAY FOR FOREIGN TOURIST","","","","","","","","48.42","","","","","","","","","","","","","48"
"3130000","CDFI2262212015000032","20151012","","03","폐업","03","폐업","20190111","","","","","","","서울특별시 마포구 도화동 83번지 도화3지구우성아파트 17동 702호","'서울특별시 마포구 삼개로 33 17동 702호 (도화동 도화3지구우성아파트)'","04179","마포아줌마게스트하우스","20190111174537","U","2019-01-13 02:40:00.0","","195410.475116073    ","448276.965250949    ","외국인관광 도시민박업","","","","","","1실(2명)","","","","","","Mapo Ajumma Guesthouse","URBAN HOMESTAY FOR FOREIGN TOURIST","","","","","","","","141.51","","","","","","","","","","","","","142"
"3130000","CDFI2262212012000002","20120420","","03","폐업","03","폐업","20150630","","","","","","121869","서울특별시 마포구 연남동 567-27번지 ","서울특별시 마포구 월드컵북로6길 81-12 (연남동)","","패밀리&프렌즈 하우스","20161007115252","I","2018-08-31 23:59:59.0","","193080.669385726    ","450902.283497932    ","외국인관광 도시민박업","","","","","","8실(30명)","다가구용 주택(공동주택적용)","","","","","","","","","","","","","","216.88","","","","","","","","","","","","","217"
"3130000","CDFI2262212012000001","20121228","","03","폐업","03","폐업","20161003","","","","","","121826","서울특별시 마포구 망원동 472-20번지 ","서울특별시 마포구 월드컵로 165-6 (망원동)","","수토메(SUTOME)","20161007093312","I","2018-08-31 23:59:59.0","","191437.963054542    ","451113.342823391    ","외국인관광 도시민박업","","","3","","","6실(24명)","다가구용 주택(공동주택적용)","","","","","SUTOME","Home Stay for Foreign Tourists","","","","","","","","163","","","","","","","","","","","","","163"
"3130000","CDFI2262212018000050","20180713","","03","폐업","03","폐업","20191020","","","","","","","서울특별시 마포구 연남동 568-15번지 ","'서울특별시 마포구 연남로1길 41 1층 (연남동)'","03991","해리티지","20191022173821","U","2019-10-24 02:40:00.0","","192945.708790117    ","450837.529467747    ","외국인관광 도시민박업","","","","","","2실(9명)","","","","2","","Harrytage","URBAN HOMESTAY FOR FOREIGN TOURISTS","","","","","","","","64.63","","","","","","","","","","","","","65"
"3210000","CDFI2262212017000002","20170428","","01","영업/정상","13","영업중","","","","","","","","서울특별시 서초구 방배동 870-20번지 401호(방배동해오름빌)","서울특별시 서초구 서초대로15길 16 401호 (방배동 해오름빌)","06571","Suho's stay","20200617095613","U","2019-12-05 23:09:00.0","","199044.464548494","442806.824549134","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3130000","CDFI2262212018000049","20180705","","03","폐업","03","폐업","20200102","","","","","","","서울특별시 마포구 서교동 328-14번지 ","'서울특별시 마포구 와우산로29길 20 4층 (서교동)'","04052","서울구경","20200102125850","U","2020-01-04 02:40:00.0","","193644.86756881     ","450316.212202067    ","외국인관광 도시민박업","","","","","","4실(16명)","","","","4","","Seoul Sightseeing","URBAN HOMESTAY FOR FOREIGN TOURISTS","","","","","","","","127.05","","","","","","","","","","","","","127"
