date,강남구 맛집,강동구 맛집,강북구 맛집,강서구 맛집,관악구 맛집,광진구 맛집,구로구 맛집,금천구 맛집,노원구 맛집,도봉구 맛집,동대문구 맛집,동작구 맛집,마포구 맛집,서대문구 맛집,서초구 맛집,성동구 맛집,성북구 맛집,송파구 맛집,양천구 맛집,영등포구 맛집,용산구 맛집,은평구 맛집,종로구 맛집,중구 맛집,중량구 맛집
2021-05-02,0,23,0,0,0,0,0,0,0,0,0,0,0,0,22,0,23,0,0,0,0,0,0,0,0
2021-05-09,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,22,0
2021-05-16,0,22,0,22,22,0,0,0,0,0,21,0,0,0,0,0,0,23,0,0,0,22,0,0,0
2021-05-23,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0
2021-05-30,0,0,0,0,0,29,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,22,0,44,0
2021-06-06,22,22,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0
2021-06-13,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,22,0,0,22,22,0
2021-06-20,0,23,23,23,47,0,0,0,0,31,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-27,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0
2021-07-04,0,0,0,22,0,0,0,29,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,44,0
2021-07-11,0,21,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-18,0,0,0,22,0,0,0,0,0,0,0,0,21,0,0,0,0,68,0,0,0,0,0,0,0
2021-07-25,0,0,0,22,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,22,0,22,0
2021-08-01,0,0,0,23,0,30,0,0,0,0,0,0,0,0,0,0,0,23,0,23,0,0,0,68,0
2021-08-08,0,0,0,0,0,0,0,0,0,30,22,0,0,0,22,0,0,24,0,0,0,0,0,0,0
2021-08-15,0,0,0,22,0,0,0,0,0,29,0,0,21,0,21,0,0,0,0,0,0,22,0,0,0
2021-08-22,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-29,22,22,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,22,0
2021-09-05,24,47,0,0,24,62,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-12,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,24,0,0,0,0,0,0,0,0
2021-09-19,0,0,0,54,0,36,0,0,0,36,0,0,26,0,0,0,0,0,0,56,0,0,0,0,0
2021-09-26,0,0,0,24,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0
2021-10-03,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0
2021-10-10,48,0,0,72,0,0,0,32,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0
2021-10-17,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-24,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,25,0,0,0,0,0,0,0,0
2021-10-31,0,24,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-07,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,0
2021-11-14,0,0,0,27,0,35,0,0,0,0,0,0,26,0,0,0,0,28,0,0,0,0,0,27,0
